NOME,Ano,FASE,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,PEDRA,PONTO_VIRADA,NIVEL_IDEAL,DEFASAGEM,ANO
2,2023.0,7.0,7.102380952380954,9.0,8.333333333333334,10.0,10.0,3.2142857142857144,4.0,7.976190476190477,Ametista,1,Não,1.0,2023
3,2023.0,7.0,4.10195818815331,9.0,5.828048780487805,2.8571428571428568,4.357142857142857,0.0,4.0,3.142857142857143,Quartzo,0,Não,1.0,2023
4,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
5,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
9,2023.0,9.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,-1.0,2023
10,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
11,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
12,2023.0,8.0,4.699048780487805,10.0,5.828048780487805,2.0,3.5,4.5,4.0,3.8,Quartzo,0,Sim,0.0,2023
17,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
18,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
21,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
24,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
25,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
26,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
28,2023.0,8.0,4.699048780487805,10.0,5.828048780487805,2.0,3.5,4.5,4.0,3.8,Quartzo,0,Sim,0.0,2023
29,2023.0,8.0,5.299048780487805,10.0,5.828048780487805,4.0,5.5,4.5,4.0,4.6,Quartzo,0,Sim,0.0,2023
32,2023.0,7.0,2.87,9.0,0.0,2.8571428571428568,2.7,0.0,4.0,1.1428571428571428,Quartzo,0,Não,1.0,2023
33,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
34,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
35,2023.0,9.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,-1.0,2023
37,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
39,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
40,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
41,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
42,2023.0,8.0,4.699048780487805,10.0,5.828048780487805,2.0,3.5,4.5,4.0,3.8,Quartzo,0,Sim,0.0,2023
43,2023.0,8.0,5.299048780487805,10.0,5.828048780487805,4.0,5.5,4.5,4.0,4.6,Quartzo,0,Sim,0.0,2023
45,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
46,2023.0,8.0,6.2340487804878055,10.0,5.828048780487805,8.666666666666668,8.45,4.5,4.0,5.0,Ágata,0,Sim,0.0,2023
47,2023.0,8.0,4.099048780487805,10.0,5.828048780487805,0.0,1.5,4.5,4.0,3.0,Quartzo,0,Sim,0.0,2023
